t, rx, ry, rz
2.9208869, 0.76780054, 1.1526095, 0
2.9236244, 0.75545229, 1.1608059, 0
2.9263619, 0.74301853, 1.168874, 0
2.9290994, 0.73050064, 1.1768127, 0
2.9318368, 0.71790002, 1.1846214, 0
2.9345743, 0.70521807, 1.192299, 0
2.9373118, 0.69245621, 1.1998448, 0
2.9400493, 0.67961587, 1.2072578, 0
2.9427868, 0.66669847, 1.2145374, 0
2.9455242, 0.65370546, 1.2216826, 0
2.9482617, 0.64063828, 1.2286927, 0
2.9509992, 0.6274984, 1.235567, 0
2.9537367, 0.61428729, 1.2423046, 0
2.9564741, 0.60100643, 1.2489049, 0
2.9592116, 0.58765729, 1.2553671, 0
2.9619491, 0.57424136, 1.2616905, 0
2.9646866, 0.56076016, 1.2678745, 0
2.967424, 0.54721518, 1.2739184, 0
2.9701615, 0.53360793, 1.2798214, 0
2.972899, 0.51993995, 1.2855831, 0
2.9756365, 0.50621275, 1.2912028, 0
2.9783739, 0.49242787, 1.2966798, 0
2.9811114, 0.47858686, 1.3020136, 0
2.9838489, 0.46469124, 1.3072037, 0
2.9865864, 0.45074259, 1.3122495, 0
2.9893238, 0.43674246, 1.3171505, 0
2.9920613, 0.4226924, 1.3219061, 0
2.9947988, 0.40859399, 1.3265159, 0
2.9975363, 0.39444879, 1.3309794, 0
3.0002737, 0.3802584, 1.3352961, 0
3.0030112, 0.36602438, 1.3394656, 0
3.0057487, 0.35174833, 1.3434876, 0
3.0084862, 0.33743184, 1.3473615, 0
3.0112237, 0.32307649, 1.3510871, 0
3.0139611, 0.30868389, 1.3546639, 0
3.0166986, 0.29425564, 1.3580915, 0
3.0194361, 0.27979334, 1.3613698, 0
3.0221736, 0.26529859, 1.3644984, 0
3.024911, 0.25077302, 1.3674769, 0
3.0276485, 0.23621822, 1.3703051, 0
3.030386, 0.22163581, 1.3729828, 0
3.0331235, 0.20702741, 1.3755097, 0
3.0358609, 0.19239464, 1.3778855, 0
3.0385984, 0.17773911, 1.3801102, 0
3.0413359, 0.16306244, 1.3821836, 0
3.0440734, 0.14836626, 1.3841053, 0
3.0468108, 0.13365218, 1.3858755, 0
3.0495483, 0.11892183, 1.3874938, 0
3.0522858, 0.10417683, 1.3889602, 0
3.0550233, 0.089418806, 1.3902746, 0
3.0577607, 0.074649375, 1.3914369, 0
3.0604982, 0.059870159, 1.3924471, 0
3.0632357, 0.045082781, 1.3933052, 0
3.0659732, 0.030288861, 1.3940111, 0
3.0687106, 0.015490018, 1.3945649, 0
3.0714481, 0.00068786858, 1.3949665, 0
3.0741856, -0.01411597, 1.395216, 0
3.0769231, -0.028919883, 1.3953135, 0
3.0796606, -0.043722259, 1.3952591, 0
3.082398, -0.058521487, 1.3950528, 0
3.0851355, -0.073315961, 1.3946947, 0
3.087873, -0.088104074, 1.3941851, 0
3.0906105, -0.10288423, 1.393524, 0
3.0933479, -0.11765482, 1.3927115, 0
3.0960854, -0.13241425, 1.391748, 0
3.0988229, -0.14716094, 1.3906336, 0
3.1015604, -0.16189328, 1.3893685, 0
3.1042978, -0.17660971, 1.3879529, 0
3.1070353, -0.19130864, 1.3863871, 0
3.1097728, -0.20598849, 1.3846715, 0
3.1125103, -0.2206477, 1.3828062, 0
3.1152477, -0.23528469, 1.3807916, 0
3.1179852, -0.24989791, 1.378628, 0
3.1207227, -0.2644858, 1.3763157, 0
3.1234602, -0.27904681, 1.3738552, 0
3.1261976, -0.29357939, 1.3712468, 0
3.1289351, -0.30808202, 1.3684908, 0
3.1316726, -0.32255314, 1.3655877, 0
3.1344101, -0.33699125, 1.362538, 0
3.1371475, -0.35139482, 1.359342, 0
3.139885, -0.36576233, 1.3560002, 0
3.1426225, -0.38009228, 1.3525132, 0
3.14536, -0.39438317, 1.3488813, 0
3.1480975, -0.40863351, 1.3451051, 0
3.1508349, -0.42284182, 1.3411852, 0
3.1535724, -0.43700661, 1.337122, 0
3.1563099, -0.45112641, 1.3329162, 0
3.1590474, -0.46519978, 1.3285682, 0
3.1617848, -0.47922525, 1.3240787, 0
3.1645223, -0.49320138, 1.3194484, 0
3.1672598, -0.50712673, 1.3146777, 0
3.1699973, -0.52099988, 1.3097674, 0
3.1727347, -0.5348194, 1.304718, 0
3.1754722, -0.54858389, 1.2995303, 0
3.1782097, -0.56229195, 1.2942049, 0
3.1809472, -0.57594218, 1.2887426, 0
3.1836846, -0.5895332, 1.283144, 0
3.1864221, -0.60306365, 1.2774098, 0
3.1891596, -0.61653216, 1.2715408, 0
3.1918971, -0.62993737, 1.2655377, 0
3.1946345, -0.64327794, 1.2594013, 0
3.197372, -0.65655255, 1.2531324, 0
3.2001095, -0.66975987, 1.2467318, 0
3.202847, -0.68289859, 1.2402002, 0
3.2055845, -0.69596741, 1.2335385, 0
3.2083219, -0.70896503, 1.2267476, 0
3.2110594, -0.72189019, 1.2198281, 0
3.2137969, -0.73474161, 1.2127811, 0
3.2165344, -0.74751803, 1.2056074, 0
3.2192718, -0.76021822, 1.1983078, 0
3.2220093, -0.77284093, 1.1908833, 0
3.2247468, -0.78538495, 1.1833347, 0
3.2274843, -0.79784906, 1.175663, 0
3.2302217, -0.81023206, 1.1678691, 0
3.2329592, -0.82253278, 1.1599539, 0
3.2356967, -0.83475002, 1.1519184, 0
3.2384342, -0.84688264, 1.1437636, 0
3.2411716, -0.85892947, 1.1354904, 0
3.2439091, -0.87088939, 1.1270998, 0
3.2466466, -0.88276126, 1.1185929, 0
3.2493841, -0.89454397, 1.1099705, 0
3.2521215, -0.90623642, 1.1012337, 0
3.254859, -0.91783753, 1.0923837, 0
3.2575965, -0.92934621, 1.0834213, 0
3.260334, -0.9407614, 1.0743476, 0
3.2630714, -0.95208206, 1.0651637, 0
3.2658089, -0.96330715, 1.0558707, 0
3.2685464, -0.97443564, 1.0464696, 0
3.2712839, -0.98546653, 1.0369616, 0
3.2740214, -0.99639881, 1.0273476, 0
3.2767588, -1.0072315, 1.0176288, 0
3.2794963, -1.0179636, 1.0078064, 0
3.2822338, -1.0285943, 0.9978814, 0
3.2849713, -1.0391224, 0.98785496, 0
3.2877087, -1.0495472, 0.97772822, 0
3.2904462, -1.0598676, 0.96750233, 0
3.2931837, -1.0700829, 0.95717842, 0
3.2959212, -1.0801921, 0.94675766, 0
3.2986586, -1.0901942, 0.93624121, 0
3.3013961, -1.1000886, 0.92563025, 0
3.3041336, -1.1098743, 0.91492595, 0
3.3068711, -1.1195504, 0.90412951, 0
3.3096085, -1.1291162, 0.89324211, 0
3.312346, -1.1385709, 0.88226495, 0
3.3150835, -1.1479136, 0.87119924, 0
3.317821, -1.1571436, 0.86004619, 0
3.3205584, -1.1662602, 0.84880701, 0
3.3232959, -1.1752625, 0.83748294, 0
3.3260334, -1.1841498, 0.82607519, 0
3.3287709, -1.1929215, 0.81458501, 0
3.3315083, -1.2015768, 0.80301363, 0
3.3342458, -1.210115, 0.7913623, 0
3.3369833, -1.2185354, 0.77963226, 0
3.3397208, -1.2268374, 0.76782477, 0
3.3424583, -1.2350203, 0.7559411, 0
3.3451957, -1.2430834, 0.74398249, 0
3.3479332, -1.2510263, 0.73195022, 0
3.3506707, -1.2588482, 0.71984557, 0
3.3534082, -1.2665485, 0.7076698, 0
3.3561456, -1.2741267, 0.69542419, 0
